WORD,NUM_OCCURRENCE_IN_TRAIN
a,978614
on,215656
of,204059
the,197758
in,183997
with,154793
and,140733
is,98182
man,73025
to,68138
sitting,52905
an,49872
two,48341
at,42717
standing,42473
people,41914
are,41083
next,37209
white,36178
woman,33951
street,30270
table,30172
holding,27967
that,27937
large,24554
it,24535
person,24412
some,24325
down,23104
top,22273
group,21598
up,20971
field,20772
small,20088
tennis,19594
near,19569
front,19507
his,19467
black,19335
train,18606
plate,18371
room,18295
dog,18118
riding,18088
red,17347
cat,17118
young,17116
by,17028
water,16435
baseball,15702
has,15116
while,14697
playing,14672
walking,14567
bathroom,14434
sign,14040
blue,13741
kitchen,13390
food,13237
grass,13010
there,12761
bus,12732
green,12578
pizza,12562
parked,12542
side,12407
building,12367
other,12164
bed,12045
looking,11907
snow,11801
beach,11386
ball,11267
couple,11101
three,10974
for,10946
boy,10856
toilet,10604
men,10586
clock,10526
city,10318
road,10224
flying,10155
wearing,9967
out,9926
her,9914
skateboard,9809
player,9759
over,9615
game,9536
several,9468
laying,9369
girl,9343
from,9331
sits,9273
wooden,8989
bench,8909
picture,8865
area,8770
bear,8720
one,8646
their,8641
laptop,8616
through,8595
around,8470
eating,8422
its,8408
yellow,8382
brown,8379
horse,8364
cake,8333
computer,8155
phone,8152
frisbee,8103
board,8044
sink,8015
giraffe,7941
outside,7792
as,7669
living,7588
truck,7504
air,7489
window,7363
desk,7362
motorcycle,7240
trees,7107
umbrella,7092
car,7054
tree,7007
open,7007
wall,7006
each,6964
covered,6960
many,6951
park,6888
close,6850
elephant,6831
this,6745
very,6740
behind,6659
old,6612
filled,6513
under,6513
little,6481
stop,6407
fire,6301
court,6256
into,6105
sky,6103
together,6090
surfboard,5923
kite,5916
child,5892
skis,5814
background,5793
inside,5682
boat,5585
back,5566
bat,5553
sheep,5548
chair,5526
stands,5518
big,5514
bowl,5501
view,5457
photo,5447
bunch,5437
light,5423
couch,5412
glass,5368
ocean,5355
cell,5304
bird,5299
traffic,5240
airplane,5124
mirror,5122
hydrant,5093
zebra,5083
fence,5068
sandwich,5058
teddy,5036
counter,5025
hand,4995
shirt,4989
orange,4940
another,4909
women,4880
different,4874
sidewalk,4867
plane,4785
floor,4773
wave,4751
flowers,4711
lot,4700
giraffes,4690
tall,4680
tracks,4652
horses,4650
stand,4638
vase,4627
cars,4623
parking,4622
tower,4529
baby,4474
racket,4455
vegetables,4448
ground,4434
tie,4364
zebras,4359
grassy,4322
being,4308
elephants,4289
off,4236
bananas,4217
day,4195
along,4115
full,4114
middle,4102
ready,4011
station,3983
image,3981
hill,3972
dirt,3958
taking,3888
sit,3886
signs,3863
bike,3826
four,3824
driving,3794
slope,3770
stuffed,3765
head,3694
piece,3669
above,3650
wine,3619
cows,3590
luggage,3589
broccoli,3587
across,3576
grazing,3574
beside,3557
long,3530
skiing,3526
snowy,3462
them,3413
skate,3408
hanging,3404
wii,3397
hat,3388
during,3375
refrigerator,3363
glasses,3356
holds,3355
mountain,3308
pink,3308
camera,3308
hot,3282
doing,3279
suit,3277
display,3229
buildings,3219
ski,3205
fruit,3202
herd,3195
pole,3162
children,3160
cow,3155
umbrellas,3127
empty,3109
corner,3100
going,3086
cutting,3070
watching,3048
oven,3045
pair,3041
track,3039
looks,3036
stove,3027
keyboard,3025
kites,3023
dogs,3005
jumping,2994
trick,2993
smiling,2981
chairs,2963
television,2932
soccer,2926
boats,2922
double,2908
door,2902
talking,2899
tv,2893
box,2892
posing,2876
airport,2854
traveling,2854
crowd,2853
colorful,2837
swinging,2832
video,2815
surf,2794
birds,2793
topped,2785
animals,2783
various,2779
using,2764
getting,2749
lady,2743
body,2710
plates,2697
set,2692
who,2678
against,2664
hit,2658
all,2636
paper,2634
coffee,2616
guy,2596
carrying,2573
brick,2572
cup,2565
wood,2556
lots,2543
motorcycles,2536
river,2528
banana,2516
cheese,2506
bedroom,2494
something,2482
night,2447
be,2442
waiting,2436
bears,2428
restaurant,2426
house,2422
lights,2410
remote,2384
players,2373
walk,2364
metal,2360
meat,2355
shower,2343
snowboard,2338
skateboarder,2330
runway,2319
face,2308
home,2303
items,2301
about,2299
racquet,2290
bicycle,2290
skier,2281
running,2253
high,2238
surfer,2227
busy,2226
jet,2219
line,2213
ramp,2197
someone,2189
hands,2177
passenger,2167
lying,2165
intersection,2146
male,2123
dressed,2123
tray,2114
mouth,2086
surfing,2081
like,2061
suitcase,2061
book,2044
decker,2038
animal,2029
him,2027
slice,2011
shown,2006
cut,2002
he,1999
preparing,1994
store,1990
rides,1981
bottle,1962
made,1957
pulling,1949
screen,1949
bag,1948
scissors,1942
gray,1933
sleeping,1930
bridge,1926
batter,1919
donuts,1905
half,1904
kids,1881
number,1879
zoo,1874
look,1869
enclosure,1865
dark,1859
tub,1839
knife,1834
way,1830
row,1821
surrounded,1817
sand,1811
microwave,1805
toy,1794
between,1793
showing,1793
play,1792
jacket,1787
adult,1778
carrots,1778
colored,1765
pile,1757
decorated,1747
boys,1742
few,1737
lake,1733
silver,1729
cabinets,1710
buses,1708
lined,1707
mouse,1696
walks,1695
meal,1693
older,1690
forest,1689
girls,1688
skiers,1687
seat,1678
bread,1673
purple,1654
past,1651
furniture,1646
hair,1640
oranges,1630
outdoor,1614
grey,1611
swing,1601
kid,1595
have,1581
cloudy,1572
waves,1563
displayed,1560
throwing,1558
coming,1557
attached,1555
drink,1536
chocolate,1530
photograph,1525
monitor,1514
cats,1513
onto,1509
leaning,1505
fork,1504
making,1499
crossing,1492
can,1487
dining,1473
shelf,1470
scene,1469
pan,1463
stone,1460
rocks,1454
painted,1450
drinking,1447
hitting,1445
birthday,1443
salad,1433
watch,1428
seen,1428
lush,1424
meter,1422
walls,1419
lit,1414
no,1414
female,1414
resting,1411
apples,1409
towards,1404
fruits,1393
market,1390
office,1388
cross,1378
apple,1371
windows,1371
public,1371
tables,1360
sunny,1354
rain,1354
fries,1348
bright,1347
dish,1345
clean,1335
flower,1333
plastic,1317
blanket,1317
leaves,1315
sun,1313
catch,1311
moving,1311
stopped,1303
surfboards,1300
setting,1297
books,1297
bikes,1297
been,1295
edge,1294
mountains,1288
snowboarder,1287
clear,1286
teeth,1285
beautiful,1281
pictures,1278
rail,1266
working,1264
donut,1257
ride,1249
statue,1247
dress,1246
underneath,1246
helmet,1241
platform,1239
trying,1236
slices,1234
uniform,1227
rock,1226
bath,1226
branch,1222
yard,1220
shot,1193
time,1191
controller,1188
or,1182
eat,1180
pieces,1173
having,1170
motor,1170
nice,1168
skateboarding,1162
basket,1160
computers,1159
placed,1157
perched,1153
shows,1153
cellphone,1146
pitch,1145
case,1143
wet,1142
country,1139
cart,1135
passing,1135
shore,1131
base,1128
police,1124
path,1123
cooking,1113
surface,1112
sandy,1110
vehicle,1108
vases,1107
trains,1105
pizzas,1105
catcher,1104
hotel,1103
eaten,1097
dinner,1097
laptops,1097
family,1094
they,1082
others,1080
lap,1079
modern,1079
beer,1078
doughnut,1078
boards,1078
plant,1076
types,1069
brushing,1069
tiled,1068
just,1066
reading,1061
benches,1054
sauce,1052
toppings,1052
multiple,1051
nintendo,1050
lamp,1047
watches,1046
town,1045
single,1041
doughnuts,1039
pitcher,1029
plants,1029
variety,1028
fresh,1024
engine,1023
mounted,1015
guys,1013
enjoying,1010
trucks,1005
post,1001
bowls,1000
pretty,994
passengers,991
distance,989
tarmac,989
phones,989
gear,982
jump,982
bathtub,980
end,979
woods,979
shoes,978
performing,977
appliances,976
gathered,974
cute,973
graffiti,968
place,968
curb,966
tricks,966
rice,965
containing,957
left,954
pen,951
candles,950
shop,936
bottles,935
carriage,934
flies,930
chicken,930
five,929
fenced,929
bags,926
toothbrush,924
railroad,924
feeding,924
dirty,922
pasture,921
pot,919
concrete,916
tile,916
poles,911
below,911
cattle,910
brush,910
match,901
dock,898
neck,897
drinks,896
including,895
take,894
right,893
pillows,886
after,885
steel,884
fireplace,883
control,882
fly,880
takes,879
school,875
sofa,872
she,869
crowded,867
striped,864
vintage,863
bar,862
pulled,856
rack,856
alone,854
center,853
nearby,850
well,845
dry,845
boxes,844
sandwiches,843
polar,842
beds,841
huge,839
catching,837
planes,835
skateboards,833
trunk,830
fridge,827
feet,826
sinks,824
sliced,824
container,823
flat,822
church,821
arm,821
vehicles,821
bicycles,816
shaped,816
equipment,815
suitcases,814
both,809
served,808
reaching,806
putting,804
giant,804
bushes,803
plays,801
where,800
floating,795
smiles,790
surfers,790
legs,790
asian,789
tomatoes,788
poses,787
atop,786
sticking,782
clothes,782
away,781
towel,780
dishes,780
serve,779
taken,779
airplanes,777
prepares,777
lays,776
professional,775
not,775
style,771
